revenuedate,totalrevenue
2021-07-31 00:00:00.000000,7824.6546
2021-08-01 00:00:00.000000,6443.1655
2021-08-02 00:00:00.000000,8984.0614
2021-08-03 00:00:00.000000,9653.2775
2021-08-04 00:00:00.000000,8452.064
2021-08-05 00:00:00.000000,27951.2435
2021-08-06 00:00:00.000000,30204.6326
2021-08-07 00:00:00.000000,19966.068
2021-08-08 00:00:00.000000,13234.7178
2021-08-09 00:00:00.000000,2192.5189
2021-08-10 00:00:00.000000,10764.9981
2021-08-11 00:00:00.000000,8471.1179
2021-08-12 00:00:00.000000,6192.3089
2021-08-13 00:00:00.000000,10494.9688
2021-08-14 00:00:00.000000,7270.258
2021-08-15 00:00:00.000000,7405.758
2021-08-16 00:00:00.000000,5950.28
2021-08-17 00:00:00.000000,6575.9827
2021-08-18 00:00:00.000000,24023.6239
2021-08-19 00:00:00.000000,22187.3326
2021-08-20 00:00:00.000000,19445.7749
2021-08-21 00:00:00.000000,13027.6935
2021-08-22 00:00:00.000000,8997.9563
2021-08-23 00:00:00.000000,10477.8858
2021-08-24 00:00:00.000000,6215.0642
2021-08-25 00:00:00.000000,7393.2744
2021-08-26 00:00:00.000000,5981.6823
2021-08-27 00:00:00.000000,7496.0082
2021-08-28 00:00:00.000000,6900.3205
2021-08-29 00:00:00.000000,5628.7749
2021-08-30 00:00:00.000000,13076.0923
2021-08-31 00:00:00.000000,17142.7202
2021-09-01 00:00:00.000000,16595.5777
2021-09-02 00:00:00.000000,22176.6374
2021-09-03 00:00:00.000000,17283.5104
2021-09-04 00:00:00.000000,9513.0417
2021-09-05 00:00:00.000000,8606.4421
2021-09-06 00:00:00.000000,9511.67
2021-09-07 00:00:00.000000,9275.2332
2021-09-08 00:00:00.000000,7897.8233
2021-09-09 00:00:00.000000,10691.0823
2021-09-10 00:00:00.000000,48808.0182
2021-09-11 00:00:00.000000,29048.1232
2021-09-12 00:00:00.000000,19170.5077
2021-09-13 00:00:00.000000,13521.2471
2021-09-14 00:00:00.000000,13601.0422
2021-09-15 00:00:00.000000,10825.4448
2021-09-16 00:00:00.000000,8566.1905
2021-09-17 00:00:00.000000,8786.3528
2021-09-18 00:00:00.000000,6782.1218
2021-09-19 00:00:00.000000,7920.4572
2021-09-20 00:00:00.000000,12591.1062
2021-09-21 00:00:00.000000,33053.5894
2021-09-22 00:00:00.000000,8680.7061
2021-09-23 00:00:00.000000,7622.6914
2021-09-24 00:00:00.000000,18135.0215
2021-09-25 00:00:00.000000,18579.5455
